"","GBMvsASTRO","GBMvsOLIGO","ASTROvsOLIGO","GBM","LGG"
"cg24041541","DOWN","UP",NA,0.125741266314226,0.975391279421883
"cg19070139","DOWN","UP",NA,0.138527774536473,0.903874058158128
"cg13727691","DOWN","UP",NA,0.107841621457956,0.884553294193065
"cg20826224","DOWN","UP",NA,0.0480792224773475,0.648157951579248
"cg12630147","DOWN","UP",NA,0.43051170576994,0.36569024706908
"cg05163329","DOWN","UP",NA,0.218977274684635,0.34080550915961
"cg25604326","DOWN","UP",NA,0.0136947760850473,0.496203540104374
"cg16590910","DOWN","UP",NA,0.898961030650536,0.791133450742481
"cg01764954","DOWN","UP",NA,0.19208988434867,0.897851887050495
"cg03974423","DOWN","UP",NA,0.0665361981415227,0.29490145940872
"cg00428601","DOWN","UP",NA,0.451409153245364,0.819089160767381
"cg21174055","DOWN","UP",NA,0.661780647061817,0.798559134142776
"cg12604950","DOWN","UP",NA,0.248865399982627,0.888190990334757
"cg18276016","DOWN","UP",NA,0.0106560013396606,0.0198761041937077
"cg03609308","DOWN","UP","NO",0.00654899680859184,0.634661477518192
"cg19113375","DOWN","UP",NA,0.097692240554116,0.672631906927925
"cg01818121","DOWN","UP",NA,0.18090150280107,0.209849662967067
"cg22230604","DOWN","UP","NO",0.377738498916319,0.58143728526306
"cg20525712","DOWN","UP","NO",0.000533912073658964,0.181163800377719
"cg16483867","DOWN","UP",NA,0.384820920767378,0.804206763047883
"cg01338255","DOWN","UP",NA,0.549508601504082,0.138507080536102
"cg01843034","DOWN","UP",NA,0.00081704465250432,0.427834891073825
"cg19998675","DOWN","UP","NO",0.208592077979941,0.32926437878904
"cg22451910","DOWN","UP","NO",0.938929123918512,0.453192185681182
"cg01118078","DOWN","UP",NA,0.677626190645439,0.490396900427976
"cg12907983","DOWN","UP",NA,0.00158630476656568,0.286584835297338
"cg21940568","DOWN","UP","NO",0.367650785044698,0.943879315935392
"cg26448489","DOWN","UP",NA,0.0415060090284865,0.698361389773478
"cg08409074","DOWN","UP",NA,0.588890931751211,0.715042587305856
"cg25251738","DOWN","UP","NO",0.119179446169868,0.0113578549917518
"ENSG00000269190","UP","UP","NO",0.415834777376821,0.515570022379759
"ENSG00000106538","UP","UP","NO",0.108607675283001,0.359366765574034
"ENSG00000109944","UP","UP","NO",0.180272001899313,0.783363518955538
"ENSG00000234465","UP","UP","NO",0.540092939393123,0.223466912897428
"ENSG00000161798","UP","UP","NO",0.308619514645081,0.747832034905871
"ENSG00000173040","UP","UP","NO",0.133198461656851,0.811554104156162
"ENSG00000158156","UP","UP","NO",0.248327086348812,0.0991549518663963
"ENSG00000141198","UP","UP","NO",0.504658637973406,0.776075540434229
"ENSG00000172638","UP","UP","NO",0.117185416379753,0.91004284393734
"ENSG00000114115","UP","UP","NO",0.402393312365677,0.898623444628535
"ENSG00000169515","UP","UP","NO",0.921259867751893,0.369848652006938
"ENSG00000164687","UP","UP","NO",0.00423957662581255,0.286988069803534
"ENSG00000125845","DOWN","DOWN","NO",0.290559338363104,0.0952196952294683
"ENSG00000165118","UP","UP","NO",0.975063293607603,0.0474480785348289
"ENSG00000104611","UP","UP","NO",0.630754350929542,0.0570871867305315
"ENSG00000044090","UP","UP","NO",0.551582324734992,0.349925231258675
"ENSG00000196503","UP","UP","NO",0.49299370088653,0.46982598827379
"ENSG00000154240","UP","UP","NO",0.434046428137267,0.00357416274290795
"ENSG00000255150","UP","UP","NO",0.431960541541088,0.266210771226051
"ENSG00000109113","UP","UP","NO",0.294896762552556,0.941472668113008
"ENSG00000100228","UP","UP","NO",0.732061772008811,0.855307008680433
"ENSG00000142227","UP","UP","NO",0.0762324509870804,0.0809021705196386
"ENSG00000138771","UP","UP","NO",0.00515122097659987,0.368945192853517
"ENSG00000215845","UP","UP","NO",0.679462518935022,0.27819501371712
"ENSG00000119431","UP","UP","NO",0.595455466808817,0.681229832062765
"ENSG00000164309","UP","UP","NO",0.0634098012546594,0.461671270991719
"ENSG00000168140","UP","UP","NO",0.230418674124088,0.303397297284169
"ENSG00000164327","DOWN","DOWN","NO",0.129326034186777,0.704672158100281
"ENSG00000012211","UP","UP","NO",0.912308828122467,0.198053837939227
"ENSG00000165406","DOWN","DOWN","NO",0.55309996889739,0.762608547522444
